PDB,Ligand,Code,Pose Number,Resolution(A),Ligand Occupation Factor,Ki(M),log(Ki),pKi,RMSD(A),Torsions,Q,Average Q,Ligand B-factor(A2),Receptor B-factor(A2),B-factor ratio (Ligand/Receptor),C,N,O,P,S,F,Cl,Br,Affinity(kcal/mol),Gauss 1,Gauss 2,Repulsion,Hydrophobic,Hydrogen,Torsional
5QB4,lig_39,lig_789,4,1.8,1.0,ND,ND,ND,1.347, 97,0.001999999999999953,4.76190476190465e-05,0.0,34.04215111478111,0.0,15,10,6,0,2,0,0,0,-14.969,142.372,2013.133,4.673,7.293,4.21,1.9912260756924949
5QB4,lig_39,lig_789,7,1.8,1.0,ND,ND,ND,18.221, 97,0.001999999999999953,4.76190476190465e-05,0.0,34.04215111478111,0.0,15,10,6,0,2,0,0,0,-13.844,124.697,1587.061,2.777,8.542,4.757,1.9912260756924949
5QB4,lig_39,lig_789,6,1.8,1.0,ND,ND,ND,18.072, 97,0.001999999999999953,4.76190476190465e-05,0.0,34.04215111478111,0.0,15,10,6,0,2,0,0,0,-14.116,110.197,1603.766,3.055,10.312,6.23,1.9912260756924949
5QB4,lig_39,lig_789,8,1.8,1.0,ND,ND,ND,2.224, 97,0.001999999999999953,4.76190476190465e-05,0.0,34.04215111478111,0.0,15,10,6,0,2,0,0,0,-13.556,111.455,1758.814,1.592,9.509,1.682,1.9912260756924949
5QB4,lig_39,lig_789,9,1.8,1.0,ND,ND,ND,13.956, 97,0.001999999999999953,4.76190476190465e-05,0.0,34.04215111478111,0.0,15,10,6,0,2,0,0,0,-13.331,101.664,1658.026,2.486,4.168,4.492,1.9912260756924949
5QB4,lig_39,lig_789,1,1.8,1.0,ND,ND,ND,0.0, 97,0.001999999999999953,4.76190476190465e-05,0.0,34.04215111478111,0.0,15,10,6,0,2,0,0,0,-15.649,132.566,2002.15,3.721,9.221,4.597,1.9912260756924949
5QB4,lig_39,lig_789,5,1.8,1.0,ND,ND,ND,18.256, 97,0.001999999999999953,4.76190476190465e-05,0.0,34.04215111478111,0.0,15,10,6,0,2,0,0,0,-15.057,134.263,1774.748,3.929,7.906,6.129,1.9912260756924949
5QB4,lig_39,lig_789,2,1.8,1.0,ND,ND,ND,1.382, 97,0.001999999999999953,4.76190476190465e-05,0.0,34.04215111478111,0.0,15,10,6,0,2,0,0,0,-15.594,147.129,2045.521,5.36,12.021,5.364,1.9912260756924949
5QB4,lig_39,lig_789,3,1.8,1.0,ND,ND,ND,1.838, 97,0.001999999999999953,4.76190476190465e-05,0.0,34.04215111478111,0.0,15,10,6,0,2,0,0,0,-15.288,147.291,2012.657,4.476,13.336,3.822,1.9912260756924949
5QB4,lig_66,lig_2131,4,1.8,1.0,ND,ND,ND,3.914, 2,0.0009999999999999142,3.03030303030277e-05,0.0,34.04215111478111,0.0,22,6,0,0,0,0,0,0,-9.241,63.462,1128.193,1.49,45.37,2.772,0.47712125471966244
